,acc,bool_hebbian,phi,theta
70,0,0,5,0.15999999999999998
71,0,1,5,0.15999999999999998
72,0,0,5,0.16999999999999998
73,0,1,5,0.16999999999999998
74,0,0,5,0.17999999999999997
75,0,1,5,0.17999999999999997
76,0,0,5,0.18999999999999995
77,0,1,5,0.18999999999999995
78,0,0,5,0.19999999999999996
79,0,1,5,0.19999999999999996
80,0,0,5,0.20999999999999996
81,0,1,5,0.20999999999999996
82,0,0,5,0.21999999999999995
83,0,1,5,0.21999999999999995
84,0,0,5,0.22999999999999995
85,0,1,5,0.22999999999999995
86,0,0,5,0.23999999999999994
87,0,1,5,0.23999999999999994
88,0,0,5,0.24999999999999992
89,0,1,5,0.24999999999999992
90,0,0,5,0.2599999999999999
91,0,1,5,0.2599999999999999
92,0,0,5,0.2699999999999999
93,0,1,5,0.2699999999999999
94,0,0,5,0.2799999999999999
95,0,1,5,0.2799999999999999
96,0,0,5,0.2899999999999999
97,0,1,5,0.2899999999999999
98,0,0,5,0.29999999999999993
99,0,1,5,0.29999999999999993
100,0,0,5,0.30999999999999994
101,0,1,5,0.30999999999999994
102,0,0,5,0.3199999999999999
103,0,1,5,0.3199999999999999
104,0,0,5,0.32999999999999985
105,0,1,5,0.32999999999999985
106,0,0,5,0.33999999999999986
107,0,1,5,0.33999999999999986
108,0,0,5,0.34999999999999987
109,0,1,5,0.34999999999999987
110,0,0,5,0.3599999999999999
111,0,1,5,0.3599999999999999
112,0,0,5,0.3699999999999999
113,0,1,5,0.3699999999999999
114,0,0,5,0.3799999999999999
115,0,1,5,0.3799999999999999
116,0,0,5,0.3899999999999999
117,0,1,5,0.3899999999999999
118,0,0,5,0.3999999999999998
119,0,1,5,0.3999999999999998
120,0,0,5,0.4099999999999998
121,0,1,5,0.4099999999999998
122,0,0,5,0.4199999999999998
123,0,1,5,0.4199999999999998
124,0,0,5,0.4299999999999998
125,0,1,5,0.4299999999999998
126,0,0,5,0.43999999999999984
127,0,1,5,0.43999999999999984
128,0,0,5,0.44999999999999984
129,0,1,5,0.44999999999999984
130,0,0,5,0.45999999999999985
131,0,1,5,0.45999999999999985
132,0,0,5,0.46999999999999986
133,0,1,5,0.46999999999999986
134,0,0,5,0.47999999999999976
135,0,1,5,0.47999999999999976
136,0,0,5,0.48999999999999977
137,0,1,5,0.48999999999999977
138,0,0,5,0.4999999999999998
139,0,1,5,0.4999999999999998
140,0,0,5,0.5099999999999998
141,0,1,5,0.5099999999999998
142,0,0,5,0.5199999999999998
143,0,1,5,0.5199999999999998
144,0,0,5,0.5299999999999998
145,0,1,5,0.5299999999999998
146,0,0,5,0.5399999999999998
147,0,1,5,0.5399999999999998
148,0,0,5,0.5499999999999998
149,0,1,5,0.5499999999999998
150,0,0,5,0.5599999999999997
151,0,1,5,0.5599999999999997
152,0,0,5,0.5699999999999997
153,0,1,5,0.5699999999999997
154,0,0,5,0.5799999999999997
155,0,1,5,0.5799999999999997
156,0,0,5,0.5899999999999997
157,0,1,5,0.5899999999999997
158,0,0,5,0.5999999999999998
159,0,1,5,0.5999999999999998
160,0,0,5,0.6099999999999998
161,0,1,5,0.6099999999999998
162,0,0,5,0.6199999999999998
163,0,1,5,0.6199999999999998
164,0,0,5,0.6299999999999997
165,0,1,5,0.6299999999999997
166,0,0,5,0.6399999999999997
167,0,1,5,0.6399999999999997
168,0,0,5,0.6499999999999997
169,0,1,5,0.6499999999999997
170,0,0,5,0.6599999999999997
171,0,1,5,0.6599999999999997
172,0,0,5,0.6699999999999997
173,0,1,5,0.6699999999999997
174,0,0,5,0.6799999999999997
175,0,1,5,0.6799999999999997
176,0,0,5,0.6899999999999997
177,0,1,5,0.6899999999999997
178,0,0,5,0.6999999999999996
179,0,1,5,0.6999999999999996
180,0,0,5,0.7099999999999996
181,0,1,5,0.7099999999999996
182,0,0,5,0.7199999999999996
183,0,1,5,0.7199999999999996
184,0,0,5,0.7299999999999996
185,0,1,5,0.7299999999999996
186,0,0,5,0.7399999999999997
187,0,1,5,0.7399999999999997
188,0,0,5,0.7499999999999997
189,0,1,5,0.7499999999999997
190,0,0,5,0.7599999999999997
191,0,1,5,0.7599999999999997
192,0,0,5,0.7699999999999997
193,0,1,5,0.7699999999999997
194,0,0,5,0.7799999999999997
195,0,1,5,0.7799999999999997
196,0,0,5,0.7899999999999996
197,0,1,5,0.7899999999999996
198,0,0,5,0.7999999999999996
199,0,1,5,0.7999999999999996
200,0,0,5,0.8099999999999996
201,0,1,5,0.8099999999999996
202,0,0,5,0.8199999999999996
203,0,1,5,0.8199999999999996
