,accuracy,bool_hebbian,phi,theta
320,0.7396,1,5.35,1
321,0.7401,1,5.366666666666666,1
322,0.7406,1,5.383333333333334,1
323,0.7414,1,5.4,1
324,0.7427,1,5.416666666666667,1
325,0.741,1,5.433333333333334,1
326,0.7408,1,5.45,1
327,0.7383,1,5.466666666666667,1
328,0.741,1,5.483333333333333,1
329,0.7417,1,5.5,1
330,0.7378,1,5.516666666666667,1
331,0.74,1,5.533333333333333,1
332,0.7397,1,5.55,1
333,0.74,1,5.566666666666666,1
334,0.7458,1,5.583333333333333,1
335,0.7405,1,5.6,1
336,0.744,1,5.616666666666666,1
337,0.7413,1,5.633333333333334,1
338,0.7431,1,5.65,1
339,0.7402,1,5.666666666666667,1
340,0.7427,1,5.683333333333334,1
341,0.7426,1,5.7,1
342,0.7418,1,5.716666666666667,1
343,0.7426,1,5.733333333333333,1
344,0.7418,1,5.75,1
345,0.7412,1,5.766666666666667,1
346,0.7386,1,5.783333333333333,1
347,0.7422,1,5.8,1
348,0.7431,1,5.816666666666666,1
349,0.7403,1,5.833333333333333,1
350,0.7429,1,5.85,1
351,0.7438,1,5.866666666666666,1
352,0.7419,1,5.883333333333334,1
353,0.743,1,5.9,1
354,0.7444,1,5.916666666666667,1
355,0.745,1,5.933333333333334,1
356,0.7418,1,5.95,1
357,0.7405,1,5.966666666666667,1
358,0.7377,1,5.983333333333333,1
359,0.7384,1,6.0,1
360,0.1,0,0.016666666666666666,1
361,0.1421,0,0.03333333333333333,1
362,0.2954,0,0.05,1
363,0.3426,0,0.06666666666666667,1
364,0.3139,0,0.08333333333333333,1
365,0.3277,0,0.1,1
366,0.3586,0,0.11666666666666667,1
367,0.3929,0,0.13333333333333333,1
368,0.4799,0,0.15,1
369,0.5005,0,0.16666666666666666,1
370,0.5232,0,0.18333333333333332,1
371,0.5289,0,0.2,1
372,0.543,0,0.21666666666666667,1
373,0.5542,0,0.23333333333333334,1
374,0.5987,0,0.25,1
375,0.5892,0,0.26666666666666666,1
376,0.6272,0,0.2833333333333333,1
377,0.6347,0,0.3,1
378,0.6337,0,0.31666666666666665,1
379,0.642,0,0.3333333333333333,1
380,0.6462,0,0.35,1
381,0.6464,0,0.36666666666666664,1
382,0.6396,0,0.38333333333333336,1
383,0.6417,0,0.4,1
384,0.6302,0,0.4166666666666667,1
385,0.636,0,0.43333333333333335,1
386,0.6373,0,0.45,1
387,0.6352,0,0.4666666666666667,1
388,0.6342,0,0.48333333333333334,1
389,0.6381,0,0.5,1
390,0.6381,0,0.5166666666666667,1
391,0.6412,0,0.5333333333333333,1
392,0.6361,0,0.55,1
393,0.6453,0,0.5666666666666667,1
394,0.6534,0,0.5833333333333334,1
395,0.6574,0,0.6,1
396,0.6553,0,0.6166666666666667,1
397,0.6622,0,0.6333333333333333,1
398,0.6524,0,0.65,1
399,0.6704,0,0.6666666666666666,1
400,0.6625,0,0.6833333333333333,1
401,0.6637,0,0.7,1
402,0.6679,0,0.7166666666666667,1
403,0.665,0,0.7333333333333333,1
404,0.6752,0,0.75,1
405,0.6692,0,0.7666666666666667,1
406,0.6727,0,0.7833333333333333,1
407,0.6751,0,0.8,1
408,0.6705,0,0.8166666666666667,1
409,0.6781,0,0.8333333333333334,1
410,0.6823,0,0.85,1
411,0.6837,0,0.8666666666666667,1
412,0.6854,0,0.8833333333333333,1
413,0.6836,0,0.9,1
414,0.6894,0,0.9166666666666666,1
415,0.6927,0,0.9333333333333333,1
416,0.6897,0,0.95,1
417,0.6925,0,0.9666666666666667,1
418,0.6954,0,0.9833333333333333,1
419,0.6979,0,1.0,1
420,0.6982,0,1.0166666666666666,1
421,0.7027,0,1.0333333333333334,1
422,0.6983,0,1.05,1
423,0.7052,0,1.0666666666666667,1
424,0.707,0,1.0833333333333333,1
425,0.7073,0,1.1,1
426,0.6982,0,1.1166666666666667,1
427,0.7038,0,1.1333333333333333,1
428,0.7131,0,1.15,1
429,0.71,0,1.1666666666666667,1
430,0.7135,0,1.1833333333333333,1
431,0.7132,0,1.2,1
432,0.7126,0,1.2166666666666666,1
433,0.72,0,1.2333333333333334,1
434,0.7172,0,1.25,1
435,0.7164,0,1.2666666666666666,1
436,0.7122,0,1.2833333333333334,1
437,0.719,0,1.3,1
438,0.7224,0,1.3166666666666667,1
439,0.7217,0,1.3333333333333333,1
440,0.7176,0,1.35,1
441,0.7247,0,1.3666666666666667,1
442,0.7261,0,1.3833333333333333,1
443,0.7214,0,1.4,1
444,0.7267,0,1.4166666666666667,1
445,0.7221,0,1.4333333333333333,1
446,0.7271,0,1.45,1
447,0.728,0,1.4666666666666666,1
448,0.7282,0,1.4833333333333334,1
