,Unnamed: 0,acc,bool_hebbian,phi,theta
258,,0.1493,0,5,0.002
259,,0.3094,0,5,0.002
260,,0.236,0,5,0.002
261,,0.3304,0,5,0.002
262,,0.1511,0,5,0.002
263,,0.3883,0,5,0.002
264,,0.1142,0,5,0.002
265,,0.099,0,5,0.002
266,,0.0892,0,5,0.002
267,,0.2335,0,5,0.002
268,,0.2367,0,5,0.002
269,,0.2388,0,5,0.002
270,,0.2753,0,5,0.002
271,,0.2102,0,5,0.002
272,,0.1599,0,5,0.002
273,,0.1569,0,5,0.002
274,,0.2292,0,5,0.002
275,,0.2828,0,5,0.002
276,,0.1937,0,5,0.002
277,,0.2292,0,5,0.002
278,,0.1438,0,5,0.002
279,,0.1945,0,5,0.002
280,,0.1231,0,5,0.002
281,,0.3481,0,5,0.002
282,,0.1508,0,5,0.002
283,,0.1713,0,5,0.002
284,,0.1548,0,5,0.002
285,,0.1956,0,5,0.002
286,,0.2591,0,5,0.002
287,,0.2244,0,5,0.002
288,,0.189,0,5,0.002
289,,0.2965,0,5,0.002
290,,0.2328,0,5,0.002
291,,0.2984,0,5,0.002
292,,0.1924,0,5,0.002
293,,0.2234,0,5,0.002
294,,0.1985,0,5,0.002
295,,0.1674,0,5,0.002
296,,0.1085,0,5,0.002
297,,0.1689,0,5,0.002
298,,0.1202,0,5,0.002
299,,0.1914,0,5,0.002
300,,0.2933,1,5,0.002
301,,0.1717,1,5,0.002
302,,0.185,1,5,0.002
303,,0.1199,1,5,0.002
304,,0.1905,1,5,0.002
305,,0.3354,1,5,0.002
306,,0.247,1,5,0.002
307,,0.254,1,5,0.002
308,,0.2173,1,5,0.002
309,,0.2266,1,5,0.002
310,,0.155,1,5,0.002
311,,0.1761,1,5,0.002
312,,0.106,1,5,0.002
313,,0.161,1,5,0.002
314,,0.3447,1,5,0.002
315,,0.3204,1,5,0.002
316,,0.2336,1,5,0.002
317,,0.1116,1,5,0.002
318,,0.326,1,5,0.002
319,,0.1734,1,5,0.002
320,,0.3611,1,5,0.002
321,,0.1293,1,5,0.002
322,,0.2267,1,5,0.002
323,,0.2958,1,5,0.002
324,,0.1608,1,5,0.002
325,,0.1043,1,5,0.002
326,,0.1041,1,5,0.002
327,,0.2205,1,5,0.002
328,,0.164,1,5,0.002
329,,0.0974,1,5,0.002
330,,0.1957,1,5,0.002
331,,0.1004,1,5,0.002
332,,0.1508,1,5,0.002
333,,0.1795,1,5,0.002
334,,0.1297,1,5,0.002
335,,0.2461,1,5,0.002
336,,0.3093,1,5,0.002
337,,0.1032,1,5,0.002
338,,0.1135,1,5,0.002
339,,0.103,1,5,0.002
340,,0.1242,1,5,0.002
341,,0.381,1,5,0.002
342,,0.1826,1,5,0.002
343,,0.1001,1,5,0.002
344,,0.1121,1,5,0.002
345,,0.2347,1,5,0.002
346,,0.0985,1,5,0.002
347,,0.1457,1,5,0.002
348,,0.0857,1,5,0.002
349,,0.2287,1,5,0.002
350,,0.1619,1,5,0.002
351,,0.149,1,5,0.002
352,,0.099,1,5,0.002
353,,0.1075,1,5,0.002
354,,0.2382,1,5,0.002
355,,0.1135,1,5,0.002
356,,0.1135,1,5,0.002
357,,0.2545,1,5,0.002
358,,0.1221,1,5,0.002
359,,0.28,1,5,0.002
360,,0.2148,1,5,0.002
361,,0.0974,1,5,0.002
362,,0.2752,1,5,0.002
363,,0.1605,1,5,0.002
364,,0.2943,1,5,0.002
365,,0.0892,1,5,0.002
366,,0.1363,1,5,0.002
367,,0.1341,1,5,0.002
368,,0.1032,1,5,0.002
369,,0.1832,1,5,0.002
370,,0.3586,1,5,0.002
371,,0.2438,1,5,0.002
372,,0.0974,1,5,0.002
373,,0.2724,1,5,0.002
374,,0.135,1,5,0.002
375,,0.309,1,5,0.002
376,,0.1583,1,5,0.002
377,,0.12,1,5,0.002
378,,0.2148,1,5,0.002
379,,0.1563,1,5,0.002
380,,0.1504,1,5,0.002
381,,0.1954,1,5,0.002
382,,0.2147,1,5,0.002
383,,0.3393,1,5,0.002
384,,0.0895,1,5,0.002
385,,0.101,1,5,0.002
386,,0.2438,1,5,0.002
387,,0.2743,1,5,0.002
388,,0.1811,1,5,0.002
389,,0.1431,1,5,0.002
390,,0.1362,1,5,0.002
391,,0.3039,1,5,0.002
392,,0.1542,1,5,0.002
393,,0.1585,1,5,0.002
394,,0.0982,1,5,0.002
395,,0.1736,1,5,0.002
396,,0.0974,1,5,0.002
397,,0.2714,1,5,0.002
398,,0.1038,1,5,0.002
399,,0.2535,1,5,0.002
400,,0.2999,0,5,0.003
401,,0.2718,0,5,0.003
402,,0.2292,0,5,0.003
403,,0.2896,0,5,0.003
404,,0.2662,0,5,0.003
405,,0.2025,0,5,0.003
406,,0.4546,0,5,0.003
407,,0.3957,0,5,0.003
408,,0.4511,0,5,0.003
409,,0.2949,0,5,0.003
410,,0.1193,0,5,0.003
411,,0.3247,0,5,0.003
412,,0.1735,0,5,0.003
413,,0.1929,0,5,0.003
414,,0.1569,0,5,0.003
415,,0.2753,0,5,0.003
416,,0.1878,0,5,0.003
417,,0.2479,0,5,0.003
418,,0.2333,0,5,0.003
419,,0.1735,0,5,0.003
420,,0.3642,0,5,0.003
421,,0.2622,0,5,0.003
422,,0.2623,0,5,0.003
423,,0.1054,0,5,0.003
424,,0.378,0,5,0.003
425,,0.328,0,5,0.003
426,,0.2944,0,5,0.003
427,,0.2285,0,5,0.003
428,,0.2579,0,5,0.003
429,,0.3434,0,5,0.003
430,,0.3602,0,5,0.003
431,,0.2799,0,5,0.003
432,,0.1964,0,5,0.003
433,,0.2307,0,5,0.003
434,,0.2834,0,5,0.003
435,,0.2004,0,5,0.003
436,,0.4014,0,5,0.003
437,,0.2594,0,5,0.003
438,,0.237,0,5,0.003
439,,0.276,0,5,0.003
440,,0.1385,0,5,0.003
441,,0.1901,0,5,0.003
442,,0.2172,0,5,0.003
443,,0.2935,0,5,0.003
444,,0.2365,0,5,0.003
445,,0.3505,0,5,0.003
446,,0.2294,0,5,0.003
447,,0.3986,0,5,0.003
448,,0.2971,0,5,0.003
449,,0.3604,0,5,0.003
450,,0.4421,0,5,0.003
451,,0.2855,0,5,0.003
452,,0.2409,0,5,0.003
453,,0.2093,0,5,0.003
454,,0.3618,0,5,0.003
455,,0.2101,0,5,0.003
456,,0.155,0,5,0.003
457,,0.192,0,5,0.003
458,,0.2553,0,5,0.003
459,,0.3138,0,5,0.003
460,,0.2729,0,5,0.003
461,,0.3315,0,5,0.003
462,,0.2697,0,5,0.003
463,,0.2266,0,5,0.003
464,,0.1388,0,5,0.003
465,,0.3541,0,5,0.003
466,,0.3322,0,5,0.003
467,,0.2821,0,5,0.003
468,,0.3547,0,5,0.003
469,,0.2708,0,5,0.003
470,,0.1665,0,5,0.003
471,,0.2938,0,5,0.003
472,,0.1837,0,5,0.003
473,,0.1841,0,5,0.003
474,,0.1864,0,5,0.003
475,,0.2427,0,5,0.003
476,,0.2971,0,5,0.003
477,,0.1475,0,5,0.003
478,,0.3344,0,5,0.003
479,,0.3782,0,5,0.003
480,,0.2834,0,5,0.003
481,,0.1924,0,5,0.003
482,,0.2397,0,5,0.003
483,,0.3827,0,5,0.003
484,,0.2183,0,5,0.003
485,,0.4637,0,5,0.003
486,,0.1883,0,5,0.003
487,,0.2546,0,5,0.003
488,,0.1237,0,5,0.003
489,,0.2634,0,5,0.003
490,,0.3291,0,5,0.003
491,,0.3524,0,5,0.003
492,,0.2908,0,5,0.003
493,,0.1684,0,5,0.003
494,,0.3629,0,5,0.003
495,,0.1216,0,5,0.003
496,,0.3403,0,5,0.003
497,,0.3387,0,5,0.003
498,,0.1705,0,5,0.003
499,,0.3237,0,5,0.003
500,,0.2724,1,5,0.003
501,,0.1934,1,5,0.003
502,,0.1919,1,5,0.003
503,,0.1365,1,5,0.003
504,,0.1706,1,5,0.003
505,,0.1012,1,5,0.003
506,,0.1038,1,5,0.003
507,,0.0891,1,5,0.003
508,,0.4107,1,5,0.003
509,,0.2225,1,5,0.003
510,,0.101,1,5,0.003
511,,0.2364,1,5,0.003
512,,0.1032,1,5,0.003
513,,0.277,1,5,0.003
514,,0.2315,1,5,0.003
515,,0.179,1,5,0.003
516,,0.3123,1,5,0.003
517,,0.0996,1,5,0.003
518,,0.2108,1,5,0.003
519,,0.3018,1,5,0.003
520,,0.2654,1,5,0.003
521,,0.098,1,5,0.003
522,,0.1873,1,5,0.003
523,,0.1613,1,5,0.003
524,,0.1135,1,5,0.003
525,,0.2738,1,5,0.003
526,,0.128,1,5,0.003
527,,0.228,1,5,0.003
528,,0.413,1,5,0.003
529,,0.5527,1,5,0.003
530,,0.1677,1,5,0.003
531,,0.3355,1,5,0.003
532,,0.231,1,5,0.003
533,,0.2158,1,5,0.003
534,,0.2797,1,5,0.003
535,,0.0981,1,5,0.003
536,,0.1032,1,5,0.003
537,,0.19,1,5,0.003
538,,0.1782,1,5,0.003
539,,0.3749,1,5,0.003
540,,0.2324,1,5,0.003
541,,0.2274,1,5,0.003
542,,0.141,1,5,0.003
543,,0.2304,1,5,0.003
544,,0.1131,1,5,0.003
545,,0.2663,1,5,0.003
546,,0.2734,1,5,0.003
547,,0.2582,1,5,0.003
548,,0.0892,1,5,0.003
549,,0.4032,1,5,0.003
550,,0.1991,1,5,0.003
551,,0.3626,1,5,0.003
552,,0.1672,1,5,0.003
553,,0.1553,1,5,0.003
554,,0.2189,1,5,0.003
555,,0.2987,1,5,0.003
556,,0.2732,1,5,0.003
557,,0.1069,1,5,0.003
558,,0.1455,1,5,0.003
559,,0.072,1,5,0.003
560,,0.1502,1,5,0.003
561,,0.1875,1,5,0.003
562,,0.4128,1,5,0.003
563,,0.3173,1,5,0.003
564,,0.2596,1,5,0.003
565,,0.351,1,5,0.003
566,,0.2625,1,5,0.003
567,,0.2456,1,5,0.003
568,,0.2412,1,5,0.003
569,,0.3315,1,5,0.003
570,,0.4753,1,5,0.003
571,,0.2282,1,5,0.003
572,,0.1767,1,5,0.003
573,,0.4097,1,5,0.003
574,,0.2427,1,5,0.003
575,,0.3357,1,5,0.003
576,,0.3457,1,5,0.003
577,,0.1568,1,5,0.003
578,,0.3092,1,5,0.003
579,,0.3106,1,5,0.003
580,,0.3237,1,5,0.003
581,,0.1028,1,5,0.003
582,,0.2133,1,5,0.003
583,,0.1035,1,5,0.003
584,,0.2434,1,5,0.003
585,,0.1844,1,5,0.003
586,,0.3629,1,5,0.003
587,,0.2497,1,5,0.003
588,,0.3961,1,5,0.003
589,,0.1462,1,5,0.003
590,,0.2755,1,5,0.003
591,,0.2609,1,5,0.003
592,,0.1264,1,5,0.003
593,,0.1902,1,5,0.003
594,,0.1767,1,5,0.003
595,,0.1859,1,5,0.003
596,,0.2391,1,5,0.003
597,,0.2307,1,5,0.003
598,,0.1032,1,5,0.003
599,,0.2565,1,5,0.003
600,,0.3773,0,5,0.004
601,,0.1536,0,5,0.004
602,,0.2823,0,5,0.004
603,,0.2827,0,5,0.004
604,,0.3602,0,5,0.004
605,,0.3314,0,5,0.004
606,,0.4097,0,5,0.004
607,,0.3954,0,5,0.004
608,,0.2943,0,5,0.004
609,,0.3377,0,5,0.004
610,,0.3983,0,5,0.004
611,,0.4185,0,5,0.004
612,,0.4171,0,5,0.004
613,,0.1424,0,5,0.004
614,,0.2919,0,5,0.004
615,,0.2894,0,5,0.004
616,,0.2893,0,5,0.004
617,,0.4657,0,5,0.004
618,,0.1916,0,5,0.004
619,,0.2961,0,5,0.004
620,,0.2362,0,5,0.004
621,,0.1195,0,5,0.004
622,,0.2052,0,5,0.004
623,,0.327,0,5,0.004
624,,0.1421,0,5,0.004
625,,0.2838,0,5,0.004
626,,0.2836,0,5,0.004
627,,0.3192,0,5,0.004
628,,0.1884,0,5,0.004
629,,0.4233,0,5,0.004
630,,0.1678,0,5,0.004
631,,0.2792,0,5,0.004
632,,0.2716,0,5,0.004
633,,0.4268,0,5,0.004
634,,0.2801,0,5,0.004
635,,0.2269,0,5,0.004
636,,0.3679,0,5,0.004
637,,0.1074,0,5,0.004
638,,0.4157,0,5,0.004
639,,0.1336,0,5,0.004
640,,0.2518,0,5,0.004
641,,0.2674,0,5,0.004
642,,0.3006,0,5,0.004
643,,0.3412,0,5,0.004
644,,0.466,0,5,0.004
645,,0.1942,0,5,0.004
646,,0.0974,0,5,0.004
647,,0.1935,0,5,0.004
648,,0.304,0,5,0.004
649,,0.45,0,5,0.004
650,,0.2026,0,5,0.004
651,,0.3151,0,5,0.004
652,,0.2949,0,5,0.004
653,,0.2304,0,5,0.004
654,,0.3931,0,5,0.004
655,,0.4855,0,5,0.004
656,,0.2942,0,5,0.004
657,,0.1619,0,5,0.004
658,,0.1047,0,5,0.004
659,,0.3043,0,5,0.004
660,,0.1982,0,5,0.004
661,,0.2077,0,5,0.004
662,,0.1539,0,5,0.004
663,,0.4243,0,5,0.004
664,,0.3658,0,5,0.004
665,,0.3497,0,5,0.004
666,,0.2665,0,5,0.004
667,,0.1658,0,5,0.004
668,,0.1872,0,5,0.004
669,,0.1857,0,5,0.004
670,,0.2641,0,5,0.004
671,,0.4552,0,5,0.004
672,,0.204,0,5,0.004
673,,0.2666,0,5,0.004
674,,0.2337,0,5,0.004
675,,0.2634,0,5,0.004
676,,0.4333,0,5,0.004
677,,0.2833,0,5,0.004
678,,0.3207,0,5,0.004
679,,0.2101,0,5,0.004
680,,0.4102,0,5,0.004
681,,0.2995,0,5,0.004
682,,0.1473,0,5,0.004
683,,0.4625,0,5,0.004
684,,0.2838,0,5,0.004
685,,0.2977,0,5,0.004
686,,0.3533,0,5,0.004
687,,0.3732,0,5,0.004
688,,0.194,0,5,0.004
689,,0.356,0,5,0.004
690,,0.2131,0,5,0.004
691,,0.2705,0,5,0.004
692,,0.101,0,5,0.004
693,,0.3602,0,5,0.004
694,,0.3937,0,5,0.004
695,,0.2687,0,5,0.004
696,,0.2389,0,5,0.004
697,,0.3213,0,5,0.004
698,,0.4344,0,5,0.004
699,,0.2428,0,5,0.004
700,,0.3624,1,5,0.004
701,,0.3151,1,5,0.004
702,,0.1988,1,5,0.004
703,,0.2951,1,5,0.004
704,,0.1265,1,5,0.004
705,,0.2779,1,5,0.004
706,,0.1792,1,5,0.004
707,,0.313,1,5,0.004
708,,0.1356,1,5,0.004
709,,0.1736,1,5,0.004
710,,0.1984,1,5,0.004
711,,0.0958,1,5,0.004
712,,0.2098,1,5,0.004
713,,0.137,1,5,0.004
714,,0.3144,1,5,0.004
715,,0.1791,1,5,0.004
716,,0.3034,1,5,0.004
717,,0.123,1,5,0.004
718,,0.2678,1,5,0.004
719,,0.3427,1,5,0.004
720,,0.1981,1,5,0.004
721,,0.3848,1,5,0.004
722,,0.1416,1,5,0.004
723,,0.2493,1,5,0.004
724,,0.147,1,5,0.004
725,,0.2802,1,5,0.004
726,,0.2862,1,5,0.004
727,,0.0958,1,5,0.004
728,,0.2803,1,5,0.004
729,,0.3236,1,5,0.004
730,,0.3503,1,5,0.004
731,,0.3584,1,5,0.004
732,,0.1577,1,5,0.004
733,,0.2257,1,5,0.004
734,,0.2979,1,5,0.004
735,,0.1905,1,5,0.004
736,,0.2072,1,5,0.004
737,,0.3082,1,5,0.004
738,,0.1175,1,5,0.004
739,,0.2014,1,5,0.004
740,,0.321,1,5,0.004
741,,0.4517,1,5,0.004
742,,0.3875,1,5,0.004
743,,0.2767,1,5,0.004
744,,0.1958,1,5,0.004
745,,0.4608,1,5,0.004
746,,0.3035,1,5,0.004
747,,0.2535,1,5,0.004
748,,0.2054,1,5,0.004
749,,0.448,1,5,0.004
