,Unnamed: 0,v_i,w_ij,v_j,grad,mean_Hebbian_update
1733,3,0.0001383429189445451,-0.06876816600561142,6.038802623748778,-8.971636589194533e-08,12.11729972035277
1734,4,6.979326248168945,-0.10656307637691498,0.5242065191268921,0.0827600285410881,-1.2506191735212946
1735,5,3.726548671722412,0.10841095447540283,0.0,0.06805098801851273,-1.238094678294717
1736,6,5.236082553863525,-0.15492117404937744,0.0,0.07261568307876587,-1.7347043598545533
1737,7,5.183444023132324,0.0027457275427877907,0.0,-0.025446737185120586,-1.644578514949364
1738,8,4.482264041900635,-0.17050111293792725,0.0,0.03381666913628578,-1.559787896151344
1739,9,4.084997653961182,0.017214670777320862,0.0,-0.003477343358099461,-1.3721045393715887
1740,0,0.0,0.048577096313238144,2.7375380992889404,-0.0015385121805593374,5.551312654626136
1741,1,0.0,-0.007826345041394234,0.8978295922279358,0.0,1.6879326407523716
1742,2,0.0,0.028378060087561607,1.592118501663208,0.0,3.1913433665154027
1743,3,0.0,-0.018461821600794792,0.0638587698340416,0.0,0.07824467594150965
1744,4,0.5411764979362488,-0.040657181292772286,0.9496806859970092,-0.0011443739058449864,1.7727893105908936
1745,5,0.0,0.0036096987314522266,1.286934494972229,0.0,2.5345305198547887
1746,6,0.9921568632125854,-0.00011907385487575083,0.5203512907028198,-9.468998905504122e-05,0.6042829764020794
1747,7,0.0,0.002376745920628309,0.6509381532669067,0.0,1.1621263249247682
1748,8,0.0,-0.017809104174375534,1.3012123107910156,0.0,2.5523421244294036
1749,9,0.0,-0.026907328516244892,1.2821385860443115,-0.0010072120930999515,2.5065863862925886
1750,0,4.522767994785682e-05,-0.029635382816195488,0.0,0.0010773591930046678,-0.019884802455849507
1751,1,0.9755434393882751,0.09202760457992554,5.4881463050842285,-0.0017289516981691122,11.31709781815024
1752,2,0.6673669815063477,0.03739331662654877,4.713326930999756,-0.004509369842708111,9.66604468869228
1753,3,0.08919858932495117,0.10381826758384703,0.0,0.001093683997169137,-0.005337689026240625
1754,4,0.5435832738876343,-0.030819103121757507,3.844984531402588,0.005251085851341486,7.858007136513205
1755,5,4.468937913770787e-05,0.019516414031386372,0.0,-0.0027049046475440264,-0.0012111945840183134
1756,6,0.6562624573707581,0.04704747721552849,0.036548536270856864,-0.0001575847272761166,-0.26291979741597293
1757,7,2.9322130680084233,0.057759460061788566,0.0,-3.653880753518024e-09,-1.0666141943531293
1758,8,0.8658038973808289,-0.030994497239589688,1.4731886386871338,0.0019346761982887983,2.978555907805761
1759,9,0.2956729531288147,0.05675511434674262,0.6280030608177185,0.0014027954312041402,1.1035286328371834
1760,0,7.457059837179258e-05,-0.10743015259504317,2.48950719833374,2.7450880679680267e-06,4.957155137669806
1761,1,6.580443382263184,-0.12342753261327745,0.0,0.008402546867728233,-2.042012233433186
1762,2,8.269495447166264e-05,0.021786512807011604,1.392501950263977,-7.24180267752672e-07,2.768580921724731
1763,3,0.5882759690284729,0.10878196358680724,0.2419229596853256,0.0070243203081190595,0.20203286865908726
1764,4,1.2577426433563232,-0.09378914535045624,0.0,-3.189651636148483e-07,-0.6653400768763295
1765,5,0.000104977996670641,-0.012189696542918682,0.0,-6.913064254376877e-08,-0.013364695866281787
1766,6,0.4668840765953064,-0.12139690667390825,0.0,-2.427330514365167e-07,-0.2907168094032243
1767,7,0.7107253074645996,-0.06479763239622116,0.2419229596853256,0.028666753321886063,0.04723595778512604
1768,8,2.104186773300171,0.09250490367412567,0.0,-4.867448524237261e-07,-0.8294359668724093
1769,9,6.261815724428743e-05,-0.13230569660663605,0.2339528501033783,-6.760287192264514e-07,0.30313330380173
1770,0,0.9921568632125854,-0.027551038190722462,0.5085976719856262,-0.000314940232783556,0.5569137035567752
1771,1,0.0,0.05201654508709908,1.1264108419418335,-0.003289985237643123,2.218948981341194
1772,2,0.01960784383118153,0.04505661502480507,1.2752658128738403,-0.0004938017809763551,2.536626360580033
1773,3,0.0,0.05833239853382111,0.07617054134607315,0.0024467764887958765,0.12870537766310222
1774,4,0.0,-0.02560899406671524,0.0,0.0,-0.018370251226074556
1775,5,0.0,0.043633785098791115,1.2875168323516846,-0.0009224493405781685,2.558923865065855
1776,6,0.0,0.004639138001948595,1.46546733379364,-0.00018675951287150383,2.9122934382335814
1777,7,0.4901960790157318,0.008413210511207579,0.3546542525291443,7.447657117154449e-05,0.41791237569322776
1778,8,0.0,0.021224115043878555,2.476883888244629,0.0,5.006771037391588
1779,9,0.0,0.0166563019156456,0.7244018316268921,-0.00011709963291650637,1.3274467508582508
1780,0,0.1609078347682953,-0.0600401721894741,1.0040467977523804,-0.0013844891218468547,1.8935759507265746
1781,1,2.482374906539917,0.0356624461710453,4.115039825439453,-0.024899031966924667,8.72168424316481
1782,2,0.2947797775268555,0.08154163509607315,8.456240653991701,-0.022558365017175674,17.113278253405703
1783,3,0.9916483759880066,-0.08243883401155473,4.303765296936035,-0.0067842500284314156,8.843281056366715
1784,4,1.7703242301940918,0.08574839681386948,4.381563663482666,0.03817708417773247,9.244091571546068
1785,5,0.6490896940231323,0.0911516100168228,2.6421008110046387,-0.0011291583068668842,5.524075898469663
1786,6,0.2590665817260742,0.09608069807291032,3.257359743118286,0.0065885866060853004,6.6877163017497345
1787,7,1.2303990125656128,0.046410232782363885,2.90974497795105,-0.00764235109090805,6.138322703978595
1788,8,2.336836576461792,-0.07358779013156891,3.0981247425079346,0.019486512988805767,6.394234776496887
1789,9,2.2887842655181885,0.062152646481990814,0.0,1.3258353526168776e-08,-0.8964285433438479
1790,0,4.507501125335693,0.12387853860855105,0.0,0.04820341616868973,-1.4209028639666297
1791,1,4.814147472381592,0.12473654001951218,0.0,0.043556492775678635,-1.4947217362293719
1792,2,1.1512060165405271,0.1357058435678482,2.4537477493286133,0.105517640709877,5.235440823377347
1793,3,1.4762824773788452,-0.1020851582288742,1.2711154222488403,-0.004095006734132768,2.209960269285183
1794,4,2.0578663349151607,-0.013946910388767721,0.0,-0.1711338758468628,-0.8739917623426985
1795,5,4.254797458648682,0.06862933188676834,3.3619637489318848,-0.04328707605600357,6.213301482738233
1796,6,6.7030391693115225,-0.1375274658203125,0.0,0.0337236225605011,-2.078283285758659
1797,7,0.39564788341522217,-0.16843080520629886,7.914793491363525,-0.030955737456679344,15.910073443955065
1798,8,5.088206768035889,-0.20863813161849976,0.0,0.11863331496715546,-1.7247139907204638
1799,9,1.0120569467544556,0.024747995659708973,1.3505196571350098,0.07707928121089935,2.6978252787216035
1800,0,0.0,0.03140589967370033,1.0853163003921509,0.0,2.1184594753910515
1801,1,0.0,0.031207427382469174,1.2444652318954468,0.0,2.4600635638423993
1802,2,0.0,-0.015894096344709396,0.26155975461006165,-3.7550755223492154e-05,0.39890018430556734
1803,3,0.0,0.0011303912615403533,1.5589574575424194,0.0,3.1062224682639625
1804,4,0.0,0.009438046254217623,0.0,-0.0001960385707207024,-0.005076030146001893
