,acc,bool_hebbian,phi,theta
291,0.5204,1,0.30000000000000004,1
292,0.795,1,0.30000000000000004,1
293,0.757,1,0.30000000000000004,1
294,0.715,1,0.30000000000000004,1
295,0.6703,1,0.30000000000000004,1
296,0.7928,1,0.30000000000000004,1
297,0.6748,1,0.30000000000000004,1
298,0.6315,1,0.30000000000000004,1
299,0.5523,1,0.30000000000000004,1
300,0.8445,0,0.3500000000000001,1
301,0.4517,0,0.3500000000000001,1
302,0.6686,0,0.3500000000000001,1
303,0.9224,0,0.3500000000000001,1
304,0.5488,0,0.3500000000000001,1
305,0.8371,0,0.3500000000000001,1
306,0.8517,0,0.3500000000000001,1
307,0.9181,0,0.3500000000000001,1
308,0.7521,0,0.3500000000000001,1
309,0.8444,0,0.3500000000000001,1
310,0.8334,1,0.3500000000000001,1
311,0.7366,1,0.3500000000000001,1
312,0.8751,1,0.3500000000000001,1
313,0.7382,1,0.3500000000000001,1
314,0.5273,1,0.3500000000000001,1
315,0.8323,1,0.3500000000000001,1
316,0.5727,1,0.3500000000000001,1
317,0.6454,1,0.3500000000000001,1
318,0.718,1,0.3500000000000001,1
319,0.5888,1,0.3500000000000001,1
320,0.744,0,0.40000000000000013,1
321,0.8439,0,0.40000000000000013,1
322,0.4534,0,0.40000000000000013,1
323,0.7588,0,0.40000000000000013,1
324,0.8412,0,0.40000000000000013,1
325,0.7427,0,0.40000000000000013,1
326,0.6556,0,0.40000000000000013,1
327,0.4982,0,0.40000000000000013,1
328,0.9316,0,0.40000000000000013,1
329,0.8354,0,0.40000000000000013,1
330,0.8399,1,0.40000000000000013,1
331,0.6103,1,0.40000000000000013,1
332,0.6814,1,0.40000000000000013,1
333,0.5846,1,0.40000000000000013,1
334,0.6668,1,0.40000000000000013,1
335,0.7827,1,0.40000000000000013,1
336,0.795,1,0.40000000000000013,1
337,0.7727,1,0.40000000000000013,1
338,0.793,1,0.40000000000000013,1
339,0.6971,1,0.40000000000000013,1
340,0.8424,0,0.45000000000000007,1
341,0.9141,0,0.45000000000000007,1
342,0.6482,0,0.45000000000000007,1
343,0.7559,0,0.45000000000000007,1
344,0.765,0,0.45000000000000007,1
345,0.7702,0,0.45000000000000007,1
346,0.7501,0,0.45000000000000007,1
347,0.7515,0,0.45000000000000007,1
348,0.7612,0,0.45000000000000007,1
349,0.7381,0,0.45000000000000007,1
350,0.6588,1,0.45000000000000007,1
351,0.817,1,0.45000000000000007,1
352,0.9167,1,0.45000000000000007,1
353,0.7767,1,0.45000000000000007,1
354,0.5057,1,0.45000000000000007,1
355,0.7152,1,0.45000000000000007,1
356,0.745,1,0.45000000000000007,1
357,0.5376,1,0.45000000000000007,1
358,0.7335,1,0.45000000000000007,1
359,0.7607,1,0.45000000000000007,1
360,0.6567,0,0.5000000000000001,1
361,0.9331,0,0.5000000000000001,1
362,0.8522,0,0.5000000000000001,1
363,0.7498,0,0.5000000000000001,1
364,0.9355,0,0.5000000000000001,1
365,0.5819,0,0.5000000000000001,1
366,0.7301,0,0.5000000000000001,1
367,0.7284,0,0.5000000000000001,1
368,0.5861,0,0.5000000000000001,1
369,0.7706,0,0.5000000000000001,1
370,0.7559,1,0.5000000000000001,1
371,0.6138,1,0.5000000000000001,1
372,0.7561,1,0.5000000000000001,1
373,0.58,1,0.5000000000000001,1
374,0.735,1,0.5000000000000001,1
375,0.804,1,0.5000000000000001,1
376,0.9213,1,0.5000000000000001,1
377,0.6635,1,0.5000000000000001,1
378,0.6229,1,0.5000000000000001,1
379,0.7919,1,0.5000000000000001,1
380,0.6603,0,0.5500000000000002,1
381,0.9366,0,0.5500000000000002,1
382,0.6661,0,0.5500000000000002,1
383,0.666,0,0.5500000000000002,1
384,0.6807,0,0.5500000000000002,1
385,0.562,0,0.5500000000000002,1
386,0.7338,0,0.5500000000000002,1
387,0.6536,0,0.5500000000000002,1
