,Unnamed: 0,Unnamed: 0.1,acc,bool_hebbian,phi,theta
274,,,0.1825,1,5,0.002
275,,,0.2762,1,5,0.002
276,,,0.0892,1,5,0.002
277,,,0.0981,1,5,0.002
278,,,0.2534,1,5,0.002
279,,,0.1414,1,5,0.002
280,,,0.1653,1,5,0.002
281,,,0.2508,1,5,0.002
282,,,0.3025,1,5,0.002
283,,,0.324,1,5,0.002
284,,,0.1351,1,5,0.002
285,,,0.3252,1,5,0.002
286,,,0.1244,1,5,0.002
287,,,0.2842,1,5,0.002
288,,,0.2333,1,5,0.002
289,,,0.3442,1,5,0.002
290,,,0.2235,1,5,0.002
291,,,0.101,1,5,0.002
292,,,0.0892,1,5,0.002
293,,,0.1665,1,5,0.002
294,,,0.2852,1,5,0.002
295,,,0.2357,1,5,0.002
296,,,0.2016,1,5,0.002
297,,,0.1313,1,5,0.002
298,,,0.218,1,5,0.002
299,,,0.1834,1,5,0.002
300,,,0.3332,1,5,0.002
301,,,0.0598,1,5,0.002
302,,,0.1579,1,5,0.002
303,,,0.1816,1,5,0.002
304,,,0.1575,1,5,0.002
305,,,0.2446,1,5,0.002
306,,,0.1079,1,5,0.002
307,,,0.2081,1,5,0.002
308,,,0.2053,1,5,0.002
309,,,0.2328,1,5,0.002
310,,,0.2651,1,5,0.002
311,,,0.3042,1,5,0.002
312,,,0.2021,1,5,0.002
313,,,0.2586,1,5,0.002
314,,,0.4067,1,5,0.002
315,,,0.4013,1,5,0.002
316,,,0.1724,1,5,0.002
317,,,0.2407,1,5,0.002
318,,,0.098,1,5,0.002
319,,,0.0995,1,5,0.002
320,,,0.2212,1,5,0.002
321,,,0.2032,1,5,0.002
322,,,0.17,1,5,0.002
323,,,0.398,1,5,0.002
324,,,0.1086,1,5,0.002
325,,,0.1872,1,5,0.002
326,,,0.1862,1,5,0.002
327,,,0.2981,1,5,0.002
328,,,0.2785,1,5,0.002
329,,,0.0968,1,5,0.002
330,,,0.1053,1,5,0.002
331,,,0.3221,1,5,0.002
332,,,0.2918,1,5,0.002
333,,,0.0592,1,5,0.002
334,,,0.2238,1,5,0.002
335,,,0.1802,1,5,0.002
336,,,0.2802,1,5,0.002
337,,,0.2961,1,5,0.002
338,,,0.1878,1,5,0.002
339,,,0.1049,1,5,0.002
340,,,0.3274,1,5,0.002
341,,,0.1145,1,5,0.002
342,,,0.1974,1,5,0.002
343,,,0.3413,1,5,0.002
344,,,0.1155,1,5,0.002
345,,,0.2555,1,5,0.002
346,,,0.2956,1,5,0.002
347,,,0.1959,1,5,0.002
348,,,0.1593,1,5,0.002
349,,,0.1671,1,5,0.002
350,,,0.1028,1,5,0.002
351,,,0.1362,1,5,0.002
352,,,0.2155,1,5,0.002
353,,,0.0844,1,5,0.002
354,,,0.1353,1,5,0.002
355,,,0.1916,1,5,0.002
356,,,0.0991,1,5,0.002
357,,,0.271,1,5,0.002
358,,,0.1236,1,5,0.002
359,,,0.1237,1,5,0.002
360,,,0.2201,0,5,0.003
361,,,0.4477,0,5,0.003
362,,,0.318,0,5,0.003
363,,,0.1692,0,5,0.003
364,,,0.3379,0,5,0.003
365,,,0.2858,0,5,0.003
366,,,0.2015,0,5,0.003
367,,,0.1576,0,5,0.003
368,,,0.2408,0,5,0.003
369,,,0.2229,0,5,0.003
370,,,0.1891,0,5,0.003
371,,,0.1602,0,5,0.003
372,,,0.2348,0,5,0.003
373,,,0.1782,0,5,0.003
374,,,0.3426,0,5,0.003
375,,,0.2176,0,5,0.003
376,,,0.2444,0,5,0.003
377,,,0.1762,0,5,0.003
378,,,0.1496,0,5,0.003
379,,,0.2254,0,5,0.003
380,,,0.2335,0,5,0.003
381,,,0.3069,0,5,0.003
382,,,0.391,0,5,0.003
383,,,0.2186,0,5,0.003
384,,,0.1603,0,5,0.003
385,,,0.322,0,5,0.003
386,,,0.1736,0,5,0.003
387,,,0.2337,0,5,0.003
388,,,0.2007,0,5,0.003
389,,,0.1173,0,5,0.003
390,,,0.1736,0,5,0.003
391,,,0.2499,0,5,0.003
392,,,0.2326,0,5,0.003
393,,,0.4075,0,5,0.003
394,,,0.3064,0,5,0.003
395,,,0.2225,0,5,0.003
396,,,0.3054,0,5,0.003
397,,,0.2501,0,5,0.003
398,,,0.296,0,5,0.003
399,,,0.2616,0,5,0.003
400,,,0.3099,0,5,0.003
401,,,0.1995,0,5,0.003
402,,,0.2262,0,5,0.003
403,,,0.4396,0,5,0.003
404,,,0.3865,0,5,0.003
405,,,0.3154,0,5,0.003
406,,,0.2575,0,5,0.003
407,,,0.3311,0,5,0.003
408,,,0.1755,0,5,0.003
409,,,0.1396,0,5,0.003
410,,,0.3052,0,5,0.003
411,,,0.185,0,5,0.003
412,,,0.2856,0,5,0.003
413,,,0.2995,0,5,0.003
414,,,0.2724,0,5,0.003
415,,,0.2632,0,5,0.003
416,,,0.3753,0,5,0.003
417,,,0.2778,0,5,0.003
418,,,0.1286,0,5,0.003
419,,,0.1951,0,5,0.003
420,,,0.1627,0,5,0.003
421,,,0.4076,0,5,0.003
422,,,0.2012,0,5,0.003
423,,,0.0942,0,5,0.003
424,,,0.477,0,5,0.003
425,,,0.3086,0,5,0.003
426,,,0.2245,0,5,0.003
427,,,0.1875,0,5,0.003
428,,,0.2782,0,5,0.003
429,,,0.2684,0,5,0.003
430,,,0.0992,0,5,0.003
431,,,0.0927,0,5,0.003
432,,,0.3434,0,5,0.003
433,,,0.3001,0,5,0.003
434,,,0.29,0,5,0.003
435,,,0.2913,0,5,0.003
436,,,0.0951,0,5,0.003
437,,,0.329,0,5,0.003
438,,,0.3365,0,5,0.003
439,,,0.2512,0,5,0.003
440,,,0.1689,0,5,0.003
441,,,0.4023,0,5,0.003
442,,,0.1998,0,5,0.003
443,,,0.2229,0,5,0.003
444,,,0.2986,0,5,0.003
445,,,0.2043,0,5,0.003
446,,,0.2185,0,5,0.003
447,,,0.1679,0,5,0.003
448,,,0.2976,0,5,0.003
449,,,0.2035,0,5,0.003
450,,,0.3926,1,5,0.003
451,,,0.299,1,5,0.003
452,,,0.2742,1,5,0.003
453,,,0.159,1,5,0.003
454,,,0.1034,1,5,0.003
455,,,0.1198,1,5,0.003
456,,,0.325,1,5,0.003
457,,,0.527,1,5,0.003
458,,,0.1287,1,5,0.003
459,,,0.2452,1,5,0.003
460,,,0.2446,1,5,0.003
461,,,0.1798,1,5,0.003
462,,,0.2466,1,5,0.003
463,,,0.2413,1,5,0.003
464,,,0.2183,1,5,0.003
465,,,0.2227,1,5,0.003
466,,,0.2368,1,5,0.003
467,,,0.1288,1,5,0.003
468,,,0.2101,1,5,0.003
469,,,0.2179,1,5,0.003
470,,,0.3687,1,5,0.003
471,,,0.1611,1,5,0.003
472,,,0.1871,1,5,0.003
473,,,0.2875,1,5,0.003
474,,,0.1028,1,5,0.003
475,,,0.1152,1,5,0.003
476,,,0.2983,1,5,0.003
477,,,0.3996,1,5,0.003
478,,,0.159,1,5,0.003
479,,,0.2114,1,5,0.003
