,Unnamed: 0,theta,phi,fully_diff,control
89,89.0,0.8,0.1,0.8045965475712565,0.7324
90,90.0,0.8,0.2,0.6697109594540345,0.8395
91,91.0,0.8,0.30000000000000004,0.7629466077880369,0.9177
92,92.0,0.8,0.4,0.7884383781613811,0.8187
93,93.0,0.8,0.5,0.8632075471698113,0.8383
94,94.0,0.8,0.6000000000000001,0.854777197912485,0.7512
95,95.0,0.8,0.7000000000000001,0.8021878763548775,0.8342
96,96.0,0.8,0.8,0.8496587715776797,0.8523
97,97.0,0.8,0.9,0.8733440385387394,0.7608
98,98.0,0.8,1.0,0.9549377759935768,0.7521
99,99.0,0.9,0.0,0.14622641509433962,0.1436
100,100.0,0.9,0.1,0.7210959454034525,0.8064
101,101.0,0.9,0.2,0.8242673625050181,0.6278
