,acc,bool_hebbian,phi,theta
423,0.778,0,3.5999999999999996,1
424,0.9454,0,3.5999999999999996,1
425,0.6961,1,3.5999999999999996,1
426,0.8651,1,3.5999999999999996,1
427,0.7719,1,3.5999999999999996,1
428,0.8445,1,3.5999999999999996,1
429,0.898,1,3.5999999999999996,1
430,0.9512,0,3.7999999999999994,1
431,0.8656,0,3.7999999999999994,1
432,0.6661,0,3.7999999999999994,1
433,0.7694,0,3.7999999999999994,1
434,0.8628,0,3.7999999999999994,1
435,0.6624,1,3.7999999999999994,1
436,0.7157,1,3.7999999999999994,1
437,0.9496,1,3.7999999999999994,1
438,0.8658,1,3.7999999999999994,1
439,0.8925,1,3.7999999999999994,1
440,0.7543,0,3.999999999999999,1
441,0.7506,0,3.999999999999999,1
442,0.6517,0,3.999999999999999,1
443,0.5569,0,3.999999999999999,1
444,0.6702,0,3.999999999999999,1
445,0.7151,1,3.999999999999999,1
446,0.8729,1,3.999999999999999,1
447,0.7121,1,3.999999999999999,1
448,0.8128,1,3.999999999999999,1
449,0.865,1,3.999999999999999,1
450,0.8527,0,4.199999999999999,1
451,0.8579,0,4.199999999999999,1
452,0.5809,0,4.199999999999999,1
453,0.8668,0,4.199999999999999,1
454,0.757,0,4.199999999999999,1
455,0.9523,1,4.199999999999999,1
456,0.8531,1,4.199999999999999,1
457,0.8615,1,4.199999999999999,1
458,0.63,1,4.199999999999999,1
459,0.7093,1,4.199999999999999,1
460,0.7658,0,4.3999999999999995,1
461,0.6607,0,4.3999999999999995,1
462,0.5874,0,4.3999999999999995,1
463,0.6748,0,4.3999999999999995,1
464,0.6833,0,4.3999999999999995,1
465,0.7698,1,4.3999999999999995,1
466,0.7745,1,4.3999999999999995,1
467,0.6921,1,4.3999999999999995,1
468,0.6657,1,4.3999999999999995,1
469,0.9509,1,4.3999999999999995,1
470,0.7751,0,4.6,1
471,0.7749,0,4.6,1
472,0.8612,0,4.6,1
473,0.6578,0,4.6,1
474,0.6774,0,4.6,1
475,0.72,1,4.6,1
476,0.5333,1,4.6,1
477,0.9515,1,4.6,1
478,0.7629,1,4.6,1
479,0.8699,1,4.6,1
480,0.4991,0,4.799999999999999,1
481,0.8612,0,4.799999999999999,1
482,0.7528,0,4.799999999999999,1
483,0.8596,0,4.799999999999999,1
484,0.7585,0,4.799999999999999,1
485,0.785,1,4.799999999999999,1
486,0.6859,1,4.799999999999999,1
487,0.6053,1,4.799999999999999,1
488,0.8661,1,4.799999999999999,1
489,0.8259,1,4.799999999999999,1
490,0.6703,0,5.0,1
491,0.3786,0,5.0,1
492,0.8468,0,5.0,1
493,0.6604,0,5.0,1
494,0.8757,0,5.0,1
495,0.6411,1,5.0,1
496,0.9382,1,5.0,1
497,0.8934,1,5.0,1
498,0.7054,1,5.0,1
499,0.9506,1,5.0,1
500,0.5659,0,6.0,1
501,0.6561,0,6.0,1
502,0.6851,0,6.0,1
503,0.8638,0,6.0,1
504,0.7638,0,6.0,1
505,0.8186,1,6.0,1
506,0.9492,1,6.0,1
507,0.6947,1,6.0,1
508,0.953,1,6.0,1
509,0.7734,1,6.0,1
510,0.5048,0,7.0,1
511,0.4693,0,7.0,1
512,0.7787,0,7.0,1
513,0.6579,0,7.0,1
514,0.5831,0,7.0,1
515,0.9076,1,7.0,1
516,0.8805,1,7.0,1
517,0.7995,1,7.0,1
518,0.7918,1,7.0,1
519,0.7022,1,7.0,1
520,0.407,0,8.0,1
521,0.3086,0,8.0,1
522,0.5762,0,8.0,1
523,0.5756,0,8.0,1
524,0.7663,0,8.0,1
525,0.7486,1,8.0,1
526,0.9183,1,8.0,1
527,0.8055,1,8.0,1
528,0.4879,1,8.0,1
529,0.8732,1,8.0,1
530,0.767,0,9.0,1
531,0.7598,0,9.0,1
532,0.7655,0,9.0,1
533,0.8512,0,9.0,1
534,0.5799,0,9.0,1
535,0.8427,1,9.0,1
536,0.8601,1,9.0,1
537,0.5723,1,9.0,1
538,0.6753,1,9.0,1
539,0.5399,1,9.0,1
540,0.6748,0,10.0,1
541,0.3754,0,10.0,1
542,0.5808,0,10.0,1
543,0.8615,0,10.0,1
544,0.956,0,10.0,1
545,0.6741,1,10.0,1
546,0.8535,1,10.0,1
547,0.7679,1,10.0,1
548,0.8729,1,10.0,1
549,0.866,1,10.0,1
550,0.8463,0,11.0,1
551,0.7781,0,11.0,1
552,0.7687,0,11.0,1
553,0.7698,0,11.0,1
554,0.665,0,11.0,1
555,0.5312,1,11.0,1
556,0.7187,1,11.0,1
557,0.7826,1,11.0,1
558,0.6803,1,11.0,1
559,0.8398,1,11.0,1
560,0.9497,0,12.0,1
561,0.7834,0,12.0,1
562,0.8693,0,12.0,1
563,0.953,0,12.0,1
564,0.4699,0,12.0,1
565,0.8582,1,12.0,1
566,0.7499,1,12.0,1
567,0.9462,1,12.0,1
568,0.6387,1,12.0,1
569,0.952,1,12.0,1
570,0.6583,0,13.0,1
571,0.7799,0,13.0,1
572,0.558,0,13.0,1
573,0.8623,0,13.0,1
574,0.859,0,13.0,1
575,0.8659,1,13.0,1
576,0.7447,1,13.0,1
577,0.8936,1,13.0,1
578,0.7991,1,13.0,1
579,0.6874,1,13.0,1
580,0.769,0,14.0,1
581,0.8396,0,14.0,1
582,0.778,0,14.0,1
583,0.6885,0,14.0,1
584,0.7759,0,14.0,1
585,0.5724,1,14.0,1
586,0.8436,1,14.0,1
587,0.9522,1,14.0,1
588,0.832,1,14.0,1
589,0.8909,1,14.0,1
590,0.8427,0,15.0,1
591,0.6853,0,15.0,1
592,0.5864,0,15.0,1
593,0.5877,0,15.0,1
594,0.9528,0,15.0,1
595,0.6868,1,15.0,1
596,0.8751,1,15.0,1
597,0.7674,1,15.0,1
598,0.4581,1,15.0,1
599,0.7971,1,15.0,1
600,0.9553,0,16.0,1
601,0.7549,0,16.0,1
